2020.01.26 23:27:27.153 | > N | 190a | 0002 | 41542b4c414e3a300d0a (AT+LAN:0  )
2020.01.26 23:27:27.216 | < W | 190a | 0001 | 41542b54494d45464f524d41543d300d0a (AT+TIMEFORMAT=0  )
2020.01.26 23:27:27.272 | > N | 190a | 0002 | 41542b54494d45464f524d41543a300d0a (AT+TIMEFORMAT:0  )
2020.01.26 23:27:27.362 | < W | 190a | 0001 | 41542b424154540d0a (AT+BATT  )
2020.01.26 23:27:27.391 | > N | 190a | 0002 | 41542b424154543a38300d0a (AT+BATT:80  )
2020.01.26 23:27:27.460 | < W | 190a | 0001 | 41542b534e0d0a (AT+SN  )
2020.01.26 23:27:27.498 | > N | 190a | 0002 | 41542b534e3a3033313730313035313330313132 (AT+SN:03170105130112)
2020.01.26 23:27:27.513 | > N | 190a | 0002 | 37370d0a (77  )
DATA:0,000,120,002020.01.26 23:27:27.606 | < W | 190a | 0001 | 41542b555345523d692c3136392c3035390d0a (AT+USER=i,169,059  )
2020.01.26 23:27:27.648 | > N | 190a | 0002 | 41542b555345523a692c3136392c3035390d0a (AT+USER:i,169,059  )
2020.01.26 23:27:27.704 | < W | 190a | 0001 | 41542b414e54495f4c4f53543d300d0a (AT+ANTI_LOST=0  )
2020.01.26 23:27:27.738 | > N | 190a | 0002 | 41542b414e54495f4c4f53543a300d0a (AT+ANTI_LOST:0  )
2020.01.26 23:27:27.801 | < W | 190a | 0001 | 41542b48524d4f4e49544f523d310d0a (AT+HRMONITOR=1  )
2020.01.26 23:27:27.861 | > N | 190a | 0002 | 41542b48524d4f4e49544f523a310d0a (AT+HRMONITOR:1  )
2020.01.26 23:27:27.996 | < W | 190a | 0001 | 41542b46494e4450484f4e453d300d0a (AT+FINDPHONE=0  )
2020.01.26 23:27:28.053 | > N | 190a | 0002 | 41542b46494e4450484f4e453a300d0a (AT+FINDPHONE:0  )
2020.01.26 23:27:28.142 | < W | 190a | 0001 | 41542b554e4954533d310d0a (AT+UNITS=1  )
2020.01.26 23:27:28.188 | > N | 190a | 0002 | 41542b554e4954533a310d0a (AT+UNITS:1  )
2020.01.26 23:27:28.288 | < W | 190a | 0001 | 41542b4d555349433d300d0a (AT+MUSIC=0  )
2020.01.26 23:27:28.322 | > N | 190a | 0002 | 41542b4d555349433a300d0a (AT+MUSIC:0  )
2020.01.26 23:27:28.386 | < W | 190a | 0001 | 41542b48414e445355503d320d0a (AT+HANDSUP=2  )
2020.01.26 23:27:28.427 | > N | 190a | 0002 | 41542b48414e445355503a320d0a (AT+HANDSUP:2  )
2020.01.26 23:27:28.484 | < W | 190a | 0001 | 41542b5349543d3036302c303930302c31383030 (AT+SIT=060,0900,1800)
2020.01.26 23:27:28.487 | < W | 190a | 0001 | 2c300d0a (,0  )
2020.01.26 23:27:28.518 | > N | 190a | 0002 | 41542b5349543a3036302c303930302c31383030 (AT+SIT:060,0900,1800)
2020.01.26 23:27:28.532 | > N | 190a | 0002 | 2c300d0a (,0  )
2020.01.26 23:27:28.630 | < W | 190a | 0001 | 41542b414c41524d3d302c30302c313131313131 (AT+ALARM=0,00,111111)
2020.01.26 23:27:28.633 | < W | 190a | 0001 | 31302c303830300d0a (10,0800  )
2020.01.26 23:27:28.668 | > N | 190a | 0002 | 41542b414c41524d3a302c30302c313131313131 (AT+ALARM:0,00,111111)
2020.01.26 23:27:28.698 | > N | 190a | 0002 | 31302c303830300d0a (10,0800  )
2020.01.26 23:27:28.776 | < W | 190a | 0001 | 41542b414c41524d323d302c30302c3131313131 (AT+ALARM2=0,00,11111)
2020.01.26 23:27:28.780 | < W | 190a | 0001 | 3131302c303830300d0a (110,0800  )
2020.01.26 23:27:28.819 | > N | 190a | 0002 | 41542b414c41524d323a302c30302c3131313131 (AT+ALARM2:0,00,11111)
2020.01.26 23:27:28.834 | > N | 190a | 0002 | 3131302c303830300d0a (110,0800  )
2020.01.26 23:27:28.971 | < W | 190a | 0001 | 41542b444553543d31303030300d0a (AT+DEST=10000  )
2020.01.26 23:27:29.058 | > N | 190a | 0002 | 41542b444553543a31303030300d0a (AT+DEST:10000  )
2020.01.26 23:27:29.117 | < W | 190a | 0001 | 42542b5645520d0a (BT+VER  )
2020.01.26 23:27:29.162 | > N | 190a | 0002 | 42542b5645523a3132322e3034332e3031380d0a (BT+VER:122.043.018  )
2020.01.27 16:58:16.901 | < W | 190a | 0001 | 41542b544f504143453d300d0a (AT+TOPACE=0  )
2020.01.27 16:58:16.951 | > N | 190a | 0002 | 41542b544f504143453a300d0a (AT+TOPACE:0  )
2020.01.27 16:58:17.043 | < W | 190a | 0001 | 41542b53594e3d310d0a (AT+SYN=1  )
2020.01.27 16:58:17.080 | > N | 190a | 0002 | 41542b53594e3a310d0a (AT+SYN:1  )
2020.01.27 16:58:17.140 | < W | 190a | 0001 | 41542b54494d455a4f4e450d0a (AT+TIMEZONE  )
2020.01.27 16:58:17.185 | > N | 190a | 0002 | 41542b54494d455a4f4e453a300d0a (AT+TIMEZONE:0  )
2020.01.27 16:58:17.286 | < W | 190a | 0001 | 41542b5354455053544f52450d0a (AT+STEPSTORE  )
2020.01.27 16:58:17.320 | > N | 190a | 0002 | 41542b5354455053544f52453a4f4b0d0a (AT+STEPSTORE:OK  )
2020.01.27 16:58:17.384 | < W | 190a | 0001 | 41542b444154413d300d0a (AT+DATA=0  )
2020.01.27 16:58:17.444 | > N | 190a | 0002 | 41542b444154413a372c3130382c3132302c3030 (AT+DATA:7,108,120,00)
2020.01.27 16:58:17.470 | > N | 190a | 0002 | 302c3030312c3030302c300d0a (0,001,000,0  )
2020.01.27 16:58:17.626 | > N | 190a | 0002 | 12f0ef57000052f0ef57000bd2f0f086000012f1 (   W  R  W          )
2020.01.27 16:58:17.629 | > N | 190a | 0002 | 98dd000052f198dd000bd2f19946000012f1b4d8 (    R        F      )
2020.01.27 16:58:17.683 | > N | 190a | 0002 | 000052f1b4d8000bd2f1b566000012f1bb480000 (  R        f     H  )
2020.01.27 16:58:17.688 | > N | 190a | 0002 | 52f1bb48000bd2f1bc6e000012f1c254000052f1 (R  H     n     T  R )
2020.01.27 16:58:17.691 | > N | 190a | 0002 | c254000bd2f1c376000012f1c5fb000052f1c5fb ( T     v        R   )
2020.01.27 16:58:17.700 | > N | 190a | 0002 | 000bd2f1c6fa0000ffffffffffffffffffffffff (                    )
2020.01.27 16:58:17.774 | < W | 190a | 0001 | 41542b444154413d310d0a (AT+DATA=1  )
2020.01.27 16:58:17.831 | > N | 190a | 0002 | 41542b444154413a302c3030302c3132302c3030 (AT+DATA:0,000,120,00)
2020.01.27 16:58:17.859 | > N | 190a | 0002 | 312c3030302c3030302c300d0a (1,000,000,0  )
2020.01.27 16:58:18.018 | < W | 190a | 0001 | 41542b44543d3230323030313237313635383136 (AT+DT=20200127165816)
2020.01.27 16:58:18.021 | < W | 190a | 0001 | 0d0a (  )
2020.01.27 16:58:18.071 | > N | 190a | 0002 | 41542b44543a3230323030313237313635383136 (AT+DT:20200127165816)
